            TIME         VOLTAGE         CURRENT
               0               0               0
          0.0001        0.314108      0.00314108
          0.0002        0.627905      0.00942013
          0.0003        0.941083        0.018831
          0.0004         1.25333       0.0313643
          0.0005         1.56434       0.0470077
          0.0006         1.87381       0.0657459
          0.0007         2.18143       0.0875602
          0.0008          2.4869        0.112429
          0.0009         2.78991        0.140328
           0.001         3.09017         0.17123
          0.0011         3.38738        0.205104
          0.0012         3.68125        0.241916
          0.0013         3.97148        0.281631
          0.0014         4.25779        0.324209
          0.0015          4.5399        0.369608
          0.0016         4.81754        0.417783
          0.0017         5.09041        0.468688
          0.0018         5.35827         0.52227
          0.0019         5.62083        0.578479
           0.002         5.87785        0.637257
          0.0021         6.12907        0.698548
          0.0022         6.37424         0.76229
          0.0023         6.61312        0.828421
          0.0024         6.84547        0.896876
          0.0025         7.07107        0.967587
          0.0026         7.28969         1.04048
          0.0027         7.50111         1.11549
          0.0028         7.70513         1.19255
          0.0029         7.90155         1.27156
           0.003         8.09017         1.35246
          0.0031         8.27081         1.43517
          0.0032         8.44328          1.5196
          0.0033         8.60742         1.60568
          0.0034         8.76307         1.69331
          0.0035         8.91007         1.78241
          0.0036         9.04827         1.87289
          0.0037         9.17755         1.96467
          0.0038         9.29776         2.05765
          0.0039         9.40881         2.15173
           0.004         9.51057         2.24684
          0.0041         9.60294         2.34287
          0.0042         9.68583         2.43973
          0.0043         9.75917         2.53732
          0.0044         9.82287         2.63555
          0.0045         9.87688         2.73432
          0.0046         9.92115         2.83353
          0.0047         9.95562         2.93308
          0.0048         9.98027         3.03289
          0.0049         9.99507         3.13284
           0.005              10         3.23284
          0.0051         9.99507         3.33279
          0.0052         9.98027         3.43259
          0.0053         9.95562         3.53215
          0.0054         9.92115         3.63136
          0.0055         9.87688         3.73013
          0.0056         9.82287         3.82836
          0.0057         9.75917         3.92595
          0.0058         9.68583         4.02281
          0.0059         9.60294         4.11883
           0.006         9.51057         4.21394
          0.0061         9.40881         4.30803
          0.0062         9.29776         4.40101
          0.0063         9.17755         4.49278
          0.0064         9.04827         4.58326
          0.0065         8.91007         4.67237
          0.0066         8.76307            4.76
          0.0067         8.60742         4.84607
          0.0068         8.44328          4.9305
          0.0069         8.27081         5.01321
           0.007         8.09017         5.09411
          0.0071         7.90155         5.17313
          0.0072         7.70513         5.25018
          0.0073         7.50111         5.32519
          0.0074         7.28969         5.39809
          0.0075         7.07107          5.4688
          0.0076         6.84547         5.53725
          0.0077         6.61312         5.60338
          0.0078         6.37424         5.66713
          0.0079         6.12907         5.72842
           0.008         5.87785          5.7872
          0.0081         5.62083          5.8434
          0.0082         5.35827         5.89699
          0.0083         5.09041         5.94789
          0.0084         4.81754         5.99607
          0.0085          4.5399         6.04147
          0.0086         4.25779         6.08404
          0.0087         3.97148         6.12376
          0.0088         3.68125         6.16057
          0.0089         3.38738         6.19444
           0.009         3.09017         6.22535
          0.0091         2.78991         6.25324
          0.0092          2.4869         6.27811
          0.0093         2.18143         6.29993
          0.0094         1.87381         6.31867
          0.0095         1.56434         6.33431
          0.0096         1.25333         6.34684
          0.0097        0.941083         6.35625
          0.0098        0.627905         6.36253
          0.0099        0.314108         6.36567
            0.01     1.45473e-14         6.36567
          0.0101       -0.314108         6.36253
          0.0102       -0.627905         6.35625
          0.0103       -0.941083         6.34684
          0.0104        -1.25333         6.33431
          0.0105        -1.56434         6.31867
          0.0106        -1.87381         6.29993
          0.0107        -2.18143         6.27811
          0.0108         -2.4869         6.25324
          0.0109        -2.78991         6.22535
           0.011        -3.09017         6.19444
          0.0111        -3.38738         6.16057
          0.0112        -3.68125         6.12376
          0.0113        -3.97148         6.08404
          0.0114        -4.25779         6.04147
          0.0115         -4.5399         5.99607
          0.0116        -4.81754         5.94789
          0.0117        -5.09041         5.89699
          0.0118        -5.35827          5.8434
          0.0119        -5.62083          5.7872
           0.012        -5.87785         5.72842
          0.0121        -6.12907         5.66713
          0.0122        -6.37424         5.60338
          0.0123        -6.61312         5.53725
          0.0124        -6.84547          5.4688
          0.0125        -7.07107         5.39809
          0.0126        -7.28969         5.32519
          0.0127        -7.50111         5.25018
          0.0128        -7.70513         5.17313
          0.0129        -7.90155         5.09411
           0.013        -8.09017         5.01321
          0.0131        -8.27081          4.9305
          0.0132        -8.44328         4.84607
          0.0133        -8.60742            4.76
          0.0134        -8.76307         4.67237
          0.0135        -8.91007         4.58326
          0.0136        -9.04827         4.49278
          0.0137        -9.17755         4.40101
          0.0138        -9.29776         4.30803
          0.0139        -9.40881         4.21394
           0.014        -9.51057         4.11883
          0.0141        -9.60294         4.02281
          0.0142        -9.68583         3.92595
          0.0143        -9.75917         3.82836
          0.0144        -9.82287         3.73013
          0.0145        -9.87688         3.63136
          0.0146        -9.92115         3.53215
          0.0147        -9.95562         3.43259
          0.0148        -9.98027         3.33279
          0.0149        -9.99507         3.23284
           0.015             -10         3.13284
          0.0151        -9.99507         3.03289
          0.0152        -9.98027         2.93308
          0.0153        -9.95562         2.83353
          0.0154        -9.92115         2.73432
          0.0155        -9.87688         2.63555
          0.0156        -9.82287         2.53732
          0.0157        -9.75917         2.43973
          0.0158        -9.68583         2.34287
          0.0159        -9.60294         2.24684
           0.016        -9.51057         2.15173
          0.0161        -9.40881         2.05765
          0.0162        -9.29776         1.96467
          0.0163        -9.17755         1.87289
          0.0164        -9.04827         1.78241
          0.0165        -8.91007         1.69331
          0.0166        -8.76307         1.60568
          0.0167        -8.60742          1.5196
          0.0168        -8.44328         1.43517
          0.0169        -8.27081         1.35246
           0.017        -8.09017         1.27156
          0.0171        -7.90155         1.19255
          0.0172        -7.70513         1.11549
          0.0173        -7.50111         1.04048
          0.0174        -7.28969        0.967587
          0.0175        -7.07107        0.896876
          0.0176        -6.84547        0.828421
          0.0177        -6.61312         0.76229
          0.0178        -6.37424        0.698548
          0.0179        -6.12907        0.637257
           0.018        -5.87785        0.578479
          0.0181        -5.62083         0.52227
          0.0182        -5.35827        0.468688
          0.0183        -5.09041        0.417783
          0.0184        -4.81754        0.369608
          0.0185         -4.5399        0.324209
          0.0186        -4.25779        0.281631
          0.0187        -3.97148        0.241916
          0.0188        -3.68125        0.205104
          0.0189        -3.38738         0.17123
           0.019        -3.09017        0.140328
          0.0191        -2.78991        0.112429
          0.0192         -2.4869       0.0875602
          0.0193        -2.18143       0.0657459
          0.0194        -1.87381       0.0470077
          0.0195        -1.56434       0.0313643
          0.0196        -1.25333        0.018831
          0.0197       -0.941083      0.00942013
          0.0198       -0.627905      0.00314108
          0.0199       -0.314108    -4.55903e-14
            0.02     -2.0673e-13    -4.76576e-14
          0.0201        0.314108      0.00314108
          0.0202        0.627905      0.00942013
          0.0203        0.941083        0.018831
          0.0204         1.25333       0.0313643
          0.0205         1.56434       0.0470077
          0.0206         1.87381       0.0657459
          0.0207         2.18143       0.0875602
          0.0208          2.4869        0.112429
          0.0209         2.78991        0.140328
           0.021         3.09017         0.17123
          0.0211         3.38738        0.205104
          0.0212         3.68125        0.241916
          0.0213         3.97148        0.281631
          0.0214         4.25779        0.324209
          0.0215          4.5399        0.369608
          0.0216         4.81754        0.417783
          0.0217         5.09041        0.468688
          0.0218         5.35827         0.52227
          0.0219         5.62083        0.578479
           0.022         5.87785        0.637257
          0.0221         6.12907        0.698548
          0.0222         6.37424         0.76229
          0.0223         6.61312        0.828421
          0.0224         6.84547        0.896876
          0.0225         7.07107        0.967587
          0.0226         7.28969         1.04048
          0.0227         7.50111         1.11549
          0.0228         7.70513         1.19255
          0.0229         7.90155         1.27156
           0.023         8.09017         1.35246
          0.0231         8.27081         1.43517
          0.0232         8.44328          1.5196
          0.0233         8.60742         1.60568
          0.0234         8.76307         1.69331
          0.0235         8.91007         1.78241
          0.0236         9.04827         1.87289
          0.0237         9.17755         1.96467
          0.0238         9.29776         2.05765
          0.0239         9.40881         2.15173
           0.024         9.51057         2.24684
          0.0241         9.60294         2.34287
          0.0242         9.68583         2.43973
          0.0243         9.75917         2.53732
          0.0244         9.82287         2.63555
          0.0245         9.87688         2.73432
          0.0246         9.92115         2.83353
          0.0247         9.95562         2.93308
          0.0248         9.98027         3.03289
          0.0249         9.99507         3.13284
           0.025              10         3.23284
          0.0251         9.99507         3.33279
          0.0252         9.98027         3.43259
          0.0253         9.95562         3.53215
          0.0254         9.92115         3.63136
          0.0255         9.87688         3.73013
          0.0256         9.82287         3.82836
          0.0257         9.75917         3.92595
          0.0258         9.68583         4.02281
          0.0259         9.60294         4.11883
           0.026         9.51057         4.21394
          0.0261         9.40881         4.30803
          0.0262         9.29776         4.40101
          0.0263         9.17755         4.49278
          0.0264         9.04827         4.58326
          0.0265         8.91007         4.67237
          0.0266         8.76307            4.76
          0.0267         8.60742         4.84607
          0.0268         8.44328          4.9305
          0.0269         8.27081         5.01321
           0.027         8.09017         5.09411
          0.0271         7.90155         5.17313
          0.0272         7.70513         5.25018
          0.0273         7.50111         5.32519
          0.0274         7.28969         5.39809
          0.0275         7.07107          5.4688
          0.0276         6.84547         5.53725
          0.0277         6.61312         5.60338
          0.0278         6.37424         5.66713
          0.0279         6.12907         5.72842
           0.028         5.87785          5.7872
          0.0281         5.62083          5.8434
          0.0282         5.35827         5.89699
          0.0283         5.09041         5.94789
          0.0284         4.81754         5.99607
          0.0285          4.5399         6.04147
          0.0286         4.25779         6.08404
          0.0287         3.97148         6.12376
          0.0288         3.68125         6.16057
          0.0289         3.38738         6.19444
           0.029         3.09017         6.22535
          0.0291         2.78991         6.25324
          0.0292          2.4869         6.27811
          0.0293         2.18143         6.29993
          0.0294         1.87381         6.31867
          0.0295         1.56434         6.33431
          0.0296         1.25333         6.34684
          0.0297        0.941083         6.35625
          0.0298        0.627905         6.36253
          0.0299        0.314108         6.36567
            0.03     3.94472e-13         6.36567
          0.0301       -0.314108         6.36253
          0.0302       -0.627905         6.35625
          0.0303       -0.941083         6.34684
          0.0304        -1.25333         6.33431
          0.0305        -1.56434         6.31867
          0.0306        -1.87381         6.29993
          0.0307        -2.18143         6.27811
          0.0308         -2.4869         6.25324
          0.0309        -2.78991         6.22535
           0.031        -3.09017         6.19444
          0.0311        -3.38738         6.16057
          0.0312        -3.68125         6.12376
          0.0313        -3.97148         6.08404
          0.0314        -4.25779         6.04147
          0.0315         -4.5399         5.99607
          0.0316        -4.81754         5.94789
          0.0317        -5.09041         5.89699
          0.0318        -5.35827          5.8434
          0.0319        -5.62083          5.7872
           0.032        -5.87785         5.72842
