      Time   Voltage  Inductor Capacitor  Resistor     Total
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0001    3.1411    0.0314    3.1411    0.3141    3.4866
    0.0002    6.2791    0.0942    3.1380    0.6279    3.8601
    0.0003    9.4108    0.1883    3.1318    0.9411    4.2612
    0.0004   12.5333    0.3136    3.1225    1.2533    4.6895
    0.0005   15.6434    0.4701    3.1101    1.5643    5.1445
    0.0006   18.7381    0.6575    3.0947    1.8738    5.6260
    0.0007   21.8143    0.8756    3.0762    2.1814    6.1332
    0.0008   24.8690    1.1243    3.0547    2.4869    6.6659
    0.0009   27.8991    1.4033    3.0301    2.7899    7.2233
    0.0010   30.9017    1.7123    3.0026    3.0902    7.8051
    0.0011   33.8738    2.0510    2.9721    3.3874    8.4105
    0.0012   36.8125    2.4192    2.9387    3.6812    9.0391
    0.0013   39.7148    2.8163    2.9023    3.9715    9.6901
    0.0014   42.5779    3.2421    2.8631    4.2578   10.3630
    0.0015   45.3990    3.6961    2.8211    4.5399   11.0571
    0.0016   48.1754    4.1778    2.7763    4.8175   11.7717
    0.0017   50.9041    4.6869    2.7288    5.0904   12.5061
    0.0018   53.5827    5.2227    2.6785    5.3583   13.2595
    0.0019   56.2083    5.7848    2.6257    5.6208   14.0313
    0.0020   58.7785    6.3726    2.5702    5.8779   14.8206
    0.0021   61.2907    6.9855    2.5122    6.1291   15.6267
    0.0022   63.7424    7.6229    2.4517    6.3742   16.4488
    0.0023   66.1312    8.2842    2.3888    6.6131   17.2861
    0.0024   68.4547    8.9688    2.3235    6.8455   18.1378
    0.0025   70.7107    9.6759    2.2560    7.0711   19.0029
    0.0026   72.8969   10.4048    2.1862    7.2897   19.8807
    0.0027   75.0111   11.1549    2.1142    7.5011   20.7703
    0.0028   77.0513   11.9255    2.0402    7.7051   21.6708
    0.0029   79.0155   12.7156    1.9642    7.9016   22.5813
    0.0030   80.9017   13.5246    1.8862    8.0902   23.5010
    0.0031   82.7081   14.3517    1.8064    8.2708   24.4289
    0.0032   84.4328   15.1960    1.7247    8.4433   25.3641
    0.0033   86.0742   16.0568    1.6414    8.6074   26.3056
    0.0034   87.6307   16.9331    1.5565    8.7631   27.2526
    0.0035   89.1007   17.8241    1.4700    8.9101   28.2041
    0.0036   90.4827   18.7289    1.3821    9.0483   29.1592
    0.0037   91.7755   19.6467    1.2928    9.1775   30.1170
    0.0038   92.9776   20.5765    1.2022    9.2978   31.0764
    0.0039   94.0881   21.5173    1.1104    9.4088   32.0366
    0.0040   95.1057   22.4684    1.0176    9.5106   32.9965
    0.0041   96.0294   23.4287    0.9237    9.6029   33.9553
    0.0042   96.8583   24.3973    0.8289    9.6858   34.9120
    0.0043   97.5917   25.3732    0.7334    9.7592   35.8657
    0.0044   98.2287   26.3555    0.6370    9.8229   36.8154
    0.0045   98.7688   27.3432    0.5401    9.8769   37.7602
    0.0046   99.2115   28.3353    0.4426    9.9211   38.6991
    0.0047   99.5562   29.3308    0.3447    9.9556   39.6312
    0.0048   99.8027   30.3289    0.2465    9.9803   40.5556
    0.0049   99.9507   31.3284    0.1480    9.9951   41.4714
    0.0050  100.0000   32.3284    0.0493   10.0000   42.3777
    0.0051   99.9507   33.3279   -0.0493    9.9951   43.2736
    0.0052   99.8027   34.3259   -0.1480    9.9803   44.1582
    0.0053   99.5562   35.3215   -0.2465    9.9556   45.0306
    0.0054   99.2115   36.3136   -0.3447    9.9211   45.8900
    0.0055   98.7688   37.3013   -0.4426    9.8769   46.7355
    0.0056   98.2287   38.2836   -0.5401    9.8229   47.5663
    0.0057   97.5917   39.2595   -0.6370    9.7592   48.3816
    0.0058   96.8583   40.2281   -0.7334    9.6858   49.1805
    0.0059   96.0294   41.1883   -0.8289    9.6029   49.9623
    0.0060   95.1057   42.1394   -0.9237    9.5106   50.7263
    0.0061   94.0881   43.0803   -1.0176    9.4088   51.4715
    0.0062   92.9776   44.0101   -1.1104    9.2978   52.1974
    0.0063   91.7755   44.9278   -1.2022    9.1775   52.9032
    0.0064   90.4827   45.8326   -1.2928    9.0483   53.5882
    0.0065   89.1007   46.7237   -1.3821    8.9101   54.2517
    0.0066   87.6307   47.6000   -1.4700    8.7631   54.8930
    0.0067   86.0742   48.4607   -1.5565    8.6074   55.5117
    0.0068   84.4328   49.3050   -1.6414    8.4433   56.1069
    0.0069   82.7081   50.1321   -1.7247    8.2708   56.6782
    0.0070   80.9017   50.9411   -1.8064    8.0902   57.2249
    0.0071   79.0155   51.7313   -1.8862    7.9016   57.7466
    0.0072   77.0513   52.5018   -1.9642    7.7051   58.2427
    0.0073   75.0111   53.2519   -2.0402    7.5011   58.7128
    0.0074   72.8969   53.9809   -2.1142    7.2897   59.1563
    0.0075   70.7107   54.6880   -2.1862    7.0711   59.5729
    0.0076   68.4547   55.3725   -2.2560    6.8455   59.9620
    0.0077   66.1312   56.0338   -2.3235    6.6131   60.3234
    0.0078   63.7424   56.6713   -2.3888    6.3742   60.6567
    0.0079   61.2907   57.2842   -2.4517    6.1291   60.9615
    0.0080   58.7785   57.8720   -2.5122    5.8779   61.2376
    0.0081   56.2083   58.4340   -2.5702    5.6208   61.4847
    0.0082   53.5827   58.9699   -2.6257    5.3583   61.7025
    0.0083   50.9041   59.4789   -2.6785    5.0904   61.8908
    0.0084   48.1754   59.9607   -2.7288    4.8175   62.0494
    0.0085   45.3990   60.4147   -2.7763    4.5399   62.1782
    0.0086   42.5779   60.8404   -2.8211    4.2578   62.2771
    0.0087   39.7148   61.2376   -2.8631    3.9715   62.3459
    0.0088   36.8125   61.6057   -2.9023    3.6812   62.3846
    0.0089   33.8738   61.9444   -2.9387    3.3874   62.3932
    0.0090   30.9017   62.2535   -2.9721    3.0902   62.3715
    0.0091   27.8991   62.5324   -3.0026    2.7899   62.3198
    0.0092   24.8690   62.7811   -3.0301    2.4869   62.2379
    0.0093   21.8143   62.9993   -3.0547    2.1814   62.1261
    0.0094   18.7381   63.1867   -3.0762    1.8738   61.9843
    0.0095   15.6434   63.3431   -3.0947    1.5643   61.8128
    0.0096   12.5333   63.4684   -3.1101    1.2533   61.6116
    0.0097    9.4108   63.5625   -3.1225    0.9411   61.3811
