ens33: tx_bytes:568037 rx_bytes:9072961 tx_packets:6500 rx_packets: 10964
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:568665 rx_bytes:9073081 tx_packets:6506 rx_packets: 10966
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:568861 rx_bytes:9073201 tx_packets:6508 rx_packets: 10968
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569057 rx_bytes:9073261 tx_packets:6510 rx_packets: 10969
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569253 rx_bytes:9073321 tx_packets:6512 rx_packets: 10970
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569449 rx_bytes:9073381 tx_packets:6514 rx_packets: 10971
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569645 rx_bytes:9073441 tx_packets:6516 rx_packets: 10972
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569751 rx_bytes:9073501 tx_packets:6517 rx_packets: 10973
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569857 rx_bytes:9073561 tx_packets:6518 rx_packets: 10974
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:569955 rx_bytes:9073621 tx_packets:6519 rx_packets: 10975
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:570061 rx_bytes:9073681 tx_packets:6520 rx_packets: 10976
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:570167 rx_bytes:9073741 tx_packets:6521 rx_packets: 10977
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:570273 rx_bytes:9073801 tx_packets:6522 rx_packets: 10978
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:570469 rx_bytes:9073861 tx_packets:6524 rx_packets: 10979
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
