ens33: tx_bytes:5197973 rx_bytes:263293242 tx_packets:74777 rx_packets: 198730
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5198349 rx_bytes:263293302 tx_packets:74781 rx_packets: 198731
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5198349 rx_bytes:263293362 tx_packets:74781 rx_packets: 198732
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5198439 rx_bytes:263293512 tx_packets:74782 rx_packets: 198734
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5198619 rx_bytes:263293662 tx_packets:74784 rx_packets: 198736
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5198903 rx_bytes:263293962 tx_packets:74786 rx_packets: 198740
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5199009 rx_bytes:263294022 tx_packets:74787 rx_packets: 198741
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5199385 rx_bytes:263294082 tx_packets:74791 rx_packets: 198742
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5199813 rx_bytes:263294202 tx_packets:74796 rx_packets: 198744
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5200189 rx_bytes:263294262 tx_packets:74800 rx_packets: 198745
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5200295 rx_bytes:263294322 tx_packets:74801 rx_packets: 198746
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5200401 rx_bytes:263294382 tx_packets:74802 rx_packets: 198747
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5200849 rx_bytes:263294959 tx_packets:74804 rx_packets: 198750
ens33: tx_bytes:5200955 rx_bytes:263295019 tx_packets:74805 rx_packets: 198751
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5201061 rx_bytes:263295079 tx_packets:74806 rx_packets: 198752
ens33: tx_bytes:5201167 rx_bytes:263295139 tx_packets:74807 rx_packets: 198753
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5201273 rx_bytes:263295199 tx_packets:74808 rx_packets: 198754
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5201529 rx_bytes:263295319 tx_packets:74811 rx_packets: 198756
ens33: tx_bytes:5201635 rx_bytes:263295379 tx_packets:74812 rx_packets: 198757
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
lo: tx_bytes:19494 rx_bytes:19494 tx_packets:232 rx_packets: 232
ens33: tx_bytes:5201741 rx_bytes:263295439 tx_packets:74813 rx_packets: 198758
